alpha,G,gate,beta,recall,complete,cands,p95
0.0,1,true,0.0,0.6038740546380614,0.29042180815330765,2.2913666666666668,5.0
0.7,1,true,0.0,0.6043853218089211,0.29059859279425804,2.2924333333333333,5.0
0.8,1,true,0.0,0.6040091063435715,0.29059859279425804,2.2925,5.0
0.9,1,true,0.0,0.6043274425065597,0.2905278789378779,2.2931,5.0
0.5,1,true,0.0,0.6046940114215157,0.29084609129158856,2.293633333333333,5.0
0.5,1,false,0.0,0.604800123475845,0.2911996605734894,2.3306,5.0
0.0,1,false,0.0,0.6047711838246643,0.29105823286072907,2.3308333333333335,5.0
0.8,1,false,0.0,0.6050027010341102,0.291022875932539,2.3315333333333332,5.0
0.7,1,false,0.0,0.605166692390801,0.29123501750167946,2.3316666666666666,5.0
0.9,1,false,0.0,0.605214925142769,0.2913057313580596,2.3326,5.0
0.7,1,true,0.25,0.6094497607655502,0.2980589046423647,2.3487666666666667,5.0
0.9,1,true,0.25,0.6097584503781448,0.2980235477141746,2.3491,5.0
0.0,1,true,0.25,0.6099031486340485,0.2978821200014143,2.3497666666666666,5.0
0.8,1,true,0.25,0.6102697175490045,0.29827104621150513,2.3501333333333334,5.0
0.5,1,true,0.25,0.6102021916962495,0.2983064031396952,2.3507,5.0
0.8,1,false,0.25,0.6097970365797191,0.29823568928331506,2.386633333333333,5.0
0.9,1,false,0.25,0.6100382003395586,0.29848318778064564,2.3875,5.0
0.0,1,false,0.25,0.6104144158049082,0.2983064031396952,2.3882666666666665,5.0
0.5,1,false,0.25,0.6105301744096311,0.29823568928331506,2.3888,5.0
0.7,1,false,0.25,0.6106748726655348,0.298200332355125,2.39,5.0
0.5,1,true,0.5,0.6103083037505788,0.29929639712901746,2.4823,6.0
0.9,1,true,0.5,0.6108485105726192,0.299543895626348,2.4834666666666667,6.0
0.8,1,true,0.5,0.6107134588671091,0.2990488986316869,2.4835333333333334,6.0
0.7,1,true,0.5,0.6110414415804908,0.2994378248417777,2.4844333333333335,6.0
0.0,1,true,0.5,0.6113115449915111,0.29922568327263727,2.485533333333333,6.0
0.9,2,true,0.0,0.6557724957555179,0.3365979563695506,2.5170333333333335,5.0
0.9,1,false,0.5,0.6113694242938725,0.29940246791358766,2.523,6.0
0.7,1,false,0.5,0.6113308380922982,0.299543895626348,2.5236,6.0
0.5,1,false,0.5,0.6115044759993826,0.2998267510518686,2.5244666666666666,6.0
