alpha,G,beta,cands,recall,complete
0.8,2,0.0,2.8211411386930076,0.6072831187743947,0.299972296743848
0.8,3,0.0,2.9122157456849505,0.6209906848161817,0.3147305768393583
0.8,5,0.0,2.943861329637631,0.6239061938798821,0.3176831922785868
0.8,99,0.0,2.9774023197778954,0.6247915334218128,0.31826604000542075
0.7,2,0.0,3.0147114770581123,0.6280727475233207,0.3216396010251404
0.7,3,0.0,3.1843967535790796,0.6526864286827788,0.3501739548616816
0.5,2,0.0,3.2202509544966644,0.6453396465112753,0.3420956373967574
0.8,2,0.25,3.224149331739109,0.6363839582619109,0.3278386543173306
0.7,5,0.0,3.2453679171365555,0.6583994669007528,0.35674718200319727
0.0,2,0.0,3.3168804376871064,0.6527779366457691,0.35321291811229294
0.7,99,0.0,3.335097397156664,0.6604851948286236,0.35839258752010283
0.8,3,0.25,3.3409036354660615,0.6509415679170467,0.3444090391767216
0.8,5,0.25,3.394302232367288,0.6542283378591647,0.34785215815561077
0.7,2,0.25,3.4558361300198825,0.6583390062823484,0.35202083860514705
0.8,99,0.25,3.469126618568187,0.6554163073072703,0.348680857289854
0.5,3,0.0,3.527603409466614,0.6867803348080277,0.39449436760422
0.5,5,0.0,3.6635540790862193,0.6982064112439756,0.41008734320976403
0.7,3,0.25,3.6705820278355232,0.6844275997167175,0.3840007099708936
0.5,2,0.25,3.700324279768294,0.6765389596786502,0.3747758854548311
0.7,5,0.25,3.7703342889622595,0.6907896908436152,0.3916269007012162
0.0,3,0.0,3.7715412799992754,0.7090216720269634,0.431825404725384
0.8,2,0.5,3.823251674615144,0.6613574618044128,0.35470001930833006
0.0,2,0.25,3.823310552226706,0.6847776176751552,0.38768728180687595
0.5,99,0.0,3.9467259518924624,0.7035017809737297,0.41512190032344454
0.7,99,0.25,3.979715530555216,0.6936721916778084,0.3939498966824451
0.8,3,0.5,3.9801254093126266,0.676657593216384,0.37303813575075223
0.8,5,0.5,4.06774548567236,0.6802420908523737,0.37694897204129824
0.5,3,0.25,4.0896343700322015,0.7202670202360055,0.43337846605511626
0.0,5,0.0,4.092428792057863,0.7310675743820844,0.4673479349081415
0.7,2,0.5,4.116085137026318,0.6845779342273444,0.3815841705273333
0.8,99,0.5,4.213427945126066,0.6817114472866745,0.37804510953579656
0.5,5,0.25,4.310911153684153,0.7328238736431902,0.4513915789296949
0.7,3,0.5,4.406863544341635,0.7120401275490278,0.4171270883877784
0.0,3,0.25,4.430376092066468,0.7448447518385747,0.476890567341099
0.5,2,0.5,4.451099879074444,0.7037962405260662,0.40694644157071463
0.7,5,0.5,4.573001444766007,0.7189437497283357,0.4257762608279556
0.0,2,0.5,4.630899649904664,0.7126270857687796,0.42139890650091083
0.7,99,0.5,4.993420426907974,0.7225602751513721,0.4288428074072031
0.0,5,0.25,4.9972010489272956,0.7697525657362159,0.5195080093591433
0.5,99,0.25,5.016932974632807,0.7402513789106173,0.4586280052336368
0.5,3,0.5,5.0189970878227514,0.7498152682997135,0.4721126551112508
0.8,2,-1.0,5.240630533929356,0.6921423746251033,0.3977839793628731
0.0,99,0.0,5.389610139630521,0.7632927571774107,0.5225973421663946
0.5,5,0.5,5.429385363025766,0.763331321247528,0.4925279161274925
0.8,3,-1.0,5.489611498344633,0.7083820967284923,0.4189955590840896
0.0,3,0.5,5.57495233177987,0.7761457042076996,0.5209783207029671
0.7,2,-1.0,5.608970004121433,0.7167354664928887,0.42857057194631565
0.8,5,-1.0,5.675734951108937,0.7124087739142172,0.42375068508593405
0.8,99,-1.0,5.998196307015041,0.714383711844039,0.4253805000257844
0.7,3,-1.0,6.050683433198821,0.7458399009360938,0.46942867730743537
0.5,2,-1.0,6.085286484870719,0.7373476351564443,0.45797080244700106
0.7,5,-1.0,6.396324451872082,0.7535517345170978,0.47984797988095995
0.0,2,-1.0,6.61900750463095,0.7472402995839983,0.4750904553287993
0.0,5,0.5,6.707696436092882,0.8032889269155313,0.5701557978357881
0.5,3,-1.0,6.981641507810342,0.7861838009335773,0.5330070505386545
0.5,99,0.5,7.075405236484191,0.7728739677166443,0.5021628927476234
0.7,99,-1.0,7.303075902299398,0.7584438155813876,0.484444801561936
0.5,5,-1.0,7.836243246058597,0.8011074424406742,0.5574099014555602
0.0,99,0.25,8.05550573603808,0.8093738796402299,0.5909944029828371
0.0,3,-1.0,9.054628233173458,0.8155330191777813,0.5906574066634126
0.5,99,-1.0,11.561716191796084,0.8142162849531822,0.5720494533104192
0.0,5,-1.0,13.7698564744992,0.8459277158991491,0.6501402552297392
0.0,99,0.5,14.900694982268782,0.8510936672241026,0.660854579492155
0.0,99,-1.0,89.19041132805246,0.928567250019037,0.8252596130898485
