variant,one_owner,t1,t2,F_B,F_C,singleton_C,P_C,R_C
p,false,0.8,0.75,0.96598,0.96632,0.96853,0.99255,0.92333
p,true,0.75,0.65,0.9682,0.96823,0.96712,0.99292,0.92852
q_k0.05,false,0.95,0.95,0.9681,0.96857,0.94997,0.9919,0.93159
q_k0.05,true,0.95,0.95,0.9681,0.96857,0.94997,0.9919,0.93159
q_k0.2,false,0.9,0.85,0.96853,0.96894,0.96187,0.9925,0.93131
q_k0.2,true,0.9,0.85,0.96853,0.96894,0.96187,0.9925,0.93131
q_k0.5,false,0.8,0.7,0.96868,0.96901,0.96288,0.99242,0.93168
q_k0.5,true,0.8,0.7,0.96868,0.96901,0.96288,0.99242,0.93168
q_k1.0,false,0.75,0.6,0.96859,0.96886,0.96893,0.99316,0.92975
q_k1.0,true,0.75,0.6,0.96859,0.96886,0.96893,0.99316,0.92975
q_k2.0,false,0.5,0.45,0.96858,0.96877,0.96167,0.99305,0.92937
q_k2.0,true,0.5,0.45,0.96858,0.96878,0.96167,0.99307,0.92937
