variant,one_owner,t1,t2,F_B,F_C,singleton_C,P_C,R_C
p,false,0.8,0.75,0.97732,0.97819,0.9717,0.99388,0.95059
p,true,0.65,0.7,0.97822,0.97886,0.96086,0.99365,0.95267
q_k0.05,false,0.95,0.95,0.97795,0.97867,0.95192,0.99204,0.95676
q_k0.05,true,0.95,0.95,0.97795,0.97867,0.95192,0.99204,0.95676
q_k0.2,false,0.9,0.9,0.97859,0.97921,0.96425,0.9938,0.95337
q_k0.2,true,0.9,0.9,0.97859,0.97921,0.96425,0.9938,0.95337
q_k0.5,false,0.75,0.75,0.97861,0.97916,0.95924,0.99318,0.95502
q_k0.5,true,0.75,0.75,0.97861,0.97916,0.95924,0.99318,0.95502
q_k1.0,false,0.65,0.6,0.97864,0.9793,0.96357,0.99312,0.95528
q_k1.0,true,0.65,0.6,0.97864,0.9793,0.96357,0.99312,0.95528
q_k2.0,false,0.4,0.45,0.97866,0.97896,0.95517,0.99302,0.95501
q_k2.0,true,0.4,0.45,0.97864,0.97897,0.95517,0.99303,0.955
