model Qwen/Qwen3-Reranker-4B on Tesla T4; trainable 33.0M; train 50079 pairs
ep 0 step 200/18779 seen 1600 loss 0.4671 4.5 pairs/s
ep 0 step 400/18779 seen 3200 loss 0.3513 4.3 pairs/s
ep 0 step 600/18779 seen 4800 loss 0.3494 4.3 pairs/s
ep 0 step 800/18779 seen 6400 loss 0.2837 4.3 pairs/s
ep 0 step 1000/18779 seen 8000 loss 0.2649 4.3 pairs/s
ep 0 step 1200/18779 seen 9600 loss 0.2546 4.3 pairs/s
ep 0 step 1400/18779 seen 11200 loss 0.2108 4.3 pairs/s
ep 0 step 1600/18779 seen 12800 loss 0.2480 4.3 pairs/s
ep 0 step 1800/18779 seen 14400 loss 0.2445 4.3 pairs/s
ep 0 step 2000/18779 seen 16000 loss 0.1923 4.3 pairs/s
ep 0 step 2200/18779 seen 17600 loss 0.2328 4.3 pairs/s
ep 0 step 2400/18779 seen 19200 loss 0.2400 4.3 pairs/s
ep 0 step 2600/18779 seen 20800 loss 0.1987 4.3 pairs/s
ep 0 step 2800/18779 seen 22400 loss 0.2160 4.3 pairs/s
ep 0 step 3000/18779 seen 24000 loss 0.1555 4.3 pairs/s
ep 0 step 3200/18779 seen 25600 loss 0.2140 4.3 pairs/s
ep 0 step 3400/18779 seen 27200 loss 0.2033 4.3 pairs/s
ep 0 step 3600/18779 seen 28800 loss 0.2061 4.3 pairs/s
ep 0 step 3800/18779 seen 30400 loss 0.2034 4.3 pairs/s
ep 0 step 4000/18779 seen 32000 loss 0.2079 4.3 pairs/s
ep 0 step 4200/18779 seen 33600 loss 0.1603 4.3 pairs/s
ep 0 step 4400/18779 seen 35200 loss 0.2050 4.3 pairs/s
ep 0 step 4600/18779 seen 36800 loss 0.1938 4.3 pairs/s
ep 0 step 4800/18779 seen 38400 loss 0.1706 4.3 pairs/s
ep 0 step 5000/18779 seen 40000 loss 0.1796 4.3 pairs/s
ep 0 step 5200/18779 seen 41600 loss 0.1647 4.3 pairs/s
ep 0 step 5400/18779 seen 43200 loss 0.1829 4.3 pairs/s
ep 0 step 5600/18779 seen 44800 loss 0.1956 4.3 pairs/s
ep 0 step 5800/18779 seen 46400 loss 0.1717 4.3 pairs/s
ep 0 step 6000/18779 seen 48000 loss 0.1794 4.3 pairs/s
ep 0 step 6200/18779 seen 49600 loss 0.1869 4.3 pairs/s
ep 1 step 6400/18779 seen 51199 loss 0.1662 4.3 pairs/s
ep 1 step 6600/18779 seen 52799 loss 0.1327 4.3 pairs/s
ep 1 step 6800/18779 seen 54399 loss 0.1309 4.3 pairs/s
ep 1 step 7000/18779 seen 55999 loss 0.1435 4.3 pairs/s
ep 1 step 7200/18779 seen 57599 loss 0.1479 4.3 pairs/s
ep 1 step 7400/18779 seen 59199 loss 0.1504 4.3 pairs/s
ep 1 step 7600/18779 seen 60799 loss 0.1119 4.3 pairs/s
ep 1 step 7800/18779 seen 62399 loss 0.1142 4.3 pairs/s
ep 1 step 8000/18779 seen 63999 loss 0.1387 4.3 pairs/s
ep 1 step 8200/18779 seen 65599 loss 0.1739 4.3 pairs/s
ep 1 step 8400/18779 seen 67199 loss 0.1174 4.3 pairs/s
ep 1 step 8600/18779 seen 68799 loss 0.1300 4.3 pairs/s
ep 1 step 8800/18779 seen 70399 loss 0.1422 4.3 pairs/s
ep 1 step 9000/18779 seen 71999 loss 0.1106 4.3 pairs/s
ep 1 step 9200/18779 seen 73599 loss 0.1381 4.3 pairs/s
ep 1 step 9400/18779 seen 75199 loss 0.1277 4.3 pairs/s
ep 1 step 9600/18779 seen 76799 loss 0.1253 4.3 pairs/s
ep 1 step 9800/18779 seen 78399 loss 0.1291 4.3 pairs/s
ep 1 step 10000/18779 seen 79999 loss 0.1211 4.3 pairs/s
ep 1 step 10200/18779 seen 81599 loss 0.1374 4.3 pairs/s
ep 1 step 10400/18779 seen 83199 loss 0.1376 4.3 pairs/s
ep 1 step 10600/18779 seen 84799 loss 0.1031 4.3 pairs/s
ep 1 step 10800/18779 seen 86399 loss 0.1244 4.3 pairs/s
ep 1 step 11000/18779 seen 87999 loss 0.1176 4.3 pairs/s
ep 1 step 11200/18779 seen 89599 loss 0.1219 4.3 pairs/s
ep 1 step 11400/18779 seen 91199 loss 0.1401 4.3 pairs/s
ep 1 step 11600/18779 seen 92799 loss 0.1365 4.3 pairs/s
ep 1 step 11800/18779 seen 94399 loss 0.1249 4.3 pairs/s
ep 1 step 12000/18779 seen 95999 loss 0.1396 4.3 pairs/s
ep 1 step 12200/18779 seen 97599 loss 0.1308 4.3 pairs/s
ep 1 step 12400/18779 seen 99199 loss 0.1265 4.3 pairs/s
ep 2 step 12600/18779 seen 100798 loss 0.0971 4.3 pairs/s
ep 2 step 12800/18779 seen 102398 loss 0.0569 4.3 pairs/s
trained 12892 steps, 103134 pairs (2.06 epochs) in 400.0 min
scored 36219 band pairs in 2063s (17.6 pairs/s)
AUC on B2 band: 0.9090  (21760 pairs)
AUC on C band: 0.9089  (14459 pairs)
