model mixedbread-ai/mxbai-rerank-large-v2 on Tesla T4; trainable 18.5M; train 50079 pairs
ep 0 step 200/9389 seen 3200 loss 0.4305 9.5 pairs/s
ep 0 step 400/9389 seen 6400 loss 0.3295 9.4 pairs/s
ep 0 step 600/9389 seen 9600 loss 0.2762 9.4 pairs/s
ep 0 step 800/9389 seen 12800 loss 0.2426 9.4 pairs/s
ep 0 step 1000/9389 seen 16000 loss 0.2167 9.4 pairs/s
ep 0 step 1200/9389 seen 19200 loss 0.2273 9.4 pairs/s
ep 0 step 1400/9389 seen 22400 loss 0.2000 9.4 pairs/s
ep 0 step 1600/9389 seen 25600 loss 0.1878 9.4 pairs/s
ep 0 step 1800/9389 seen 28800 loss 0.1963 9.4 pairs/s
ep 0 step 2000/9389 seen 32000 loss 0.2010 9.4 pairs/s
ep 0 step 2200/9389 seen 35200 loss 0.1745 9.4 pairs/s
ep 0 step 2400/9389 seen 38400 loss 0.1800 9.4 pairs/s
ep 0 step 2600/9389 seen 41600 loss 0.1695 9.4 pairs/s
ep 0 step 2800/9389 seen 44800 loss 0.1787 9.4 pairs/s
ep 0 step 3000/9389 seen 48000 loss 0.1610 9.4 pairs/s
ep 1 step 3200/9389 seen 51199 loss 0.1521 9.4 pairs/s
ep 1 step 3400/9389 seen 54399 loss 0.1307 9.4 pairs/s
ep 1 step 3600/9389 seen 57599 loss 0.1324 9.4 pairs/s
ep 1 step 3800/9389 seen 60799 loss 0.1228 9.4 pairs/s
ep 1 step 4000/9389 seen 63999 loss 0.1185 9.4 pairs/s
ep 1 step 4200/9389 seen 67199 loss 0.1379 9.4 pairs/s
ep 1 step 4400/9389 seen 70399 loss 0.1232 9.4 pairs/s
ep 1 step 4600/9389 seen 73599 loss 0.1307 9.4 pairs/s
ep 1 step 4800/9389 seen 76799 loss 0.1260 9.4 pairs/s
ep 1 step 5000/9389 seen 79999 loss 0.1087 9.4 pairs/s
ep 1 step 5200/9389 seen 83199 loss 0.1219 9.4 pairs/s
ep 1 step 5400/9389 seen 86399 loss 0.1121 9.5 pairs/s
ep 1 step 5600/9389 seen 89599 loss 0.1093 9.5 pairs/s
ep 1 step 5800/9389 seen 92799 loss 0.1413 9.5 pairs/s
ep 1 step 6000/9389 seen 95999 loss 0.1295 9.4 pairs/s
ep 1 step 6200/9389 seen 99199 loss 0.1182 9.4 pairs/s
ep 2 step 6400/9389 seen 102398 loss 0.0678 9.4 pairs/s
ep 2 step 6600/9389 seen 105598 loss 0.0686 9.4 pairs/s
ep 2 step 6800/9389 seen 108798 loss 0.0652 9.5 pairs/s
ep 2 step 7000/9389 seen 111998 loss 0.0748 9.5 pairs/s
ep 2 step 7200/9389 seen 115198 loss 0.0649 9.5 pairs/s
ep 2 step 7400/9389 seen 118398 loss 0.0683 9.5 pairs/s
ep 2 step 7600/9389 seen 121598 loss 0.0792 9.5 pairs/s
ep 2 step 7800/9389 seen 124798 loss 0.0782 9.5 pairs/s
ep 2 step 8000/9389 seen 127998 loss 0.0699 9.5 pairs/s
ep 2 step 8200/9389 seen 131198 loss 0.0668 9.5 pairs/s
ep 2 step 8400/9389 seen 134398 loss 0.0710 9.5 pairs/s
ep 2 step 8600/9389 seen 137598 loss 0.0555 9.5 pairs/s
ep 2 step 8800/9389 seen 140798 loss 0.0661 9.5 pairs/s
ep 2 step 9000/9389 seen 143998 loss 0.0634 9.5 pairs/s
ep 2 step 9200/9389 seen 147198 loss 0.0694 9.5 pairs/s
trained 9389 steps, 150222 pairs (3.00 epochs) in 264.5 min
scored 36219 band pairs in 910s (39.8 pairs/s)
AUC on B2 band: 0.8934  (21760 pairs)
AUC on C band: 0.8921  (14459 pairs)
