model Qwen/Qwen3.5-4B on Tesla T4; trainable 32.5M; train 50079 pairs
ep 0 step 200/18779 seen 1600 loss 0.4619 2.8 pairs/s
ep 0 step 400/18779 seen 3200 loss 0.4448 2.8 pairs/s
ep 0 step 600/18779 seen 4800 loss 0.3938 2.8 pairs/s
ep 0 step 800/18779 seen 6400 loss 0.3355 2.8 pairs/s
ep 0 step 1000/18779 seen 8000 loss 0.3005 2.9 pairs/s
ep 0 step 1200/18779 seen 9600 loss 0.2568 2.9 pairs/s
ep 0 step 1400/18779 seen 11200 loss 0.2648 2.9 pairs/s
ep 0 step 1600/18779 seen 12800 loss 0.2696 2.9 pairs/s
ep 0 step 1800/18779 seen 14400 loss 0.2421 2.9 pairs/s
ep 0 step 2000/18779 seen 16000 loss 0.2103 2.9 pairs/s
ep 0 step 2200/18779 seen 17600 loss 0.2568 2.9 pairs/s
ep 0 step 2400/18779 seen 19200 loss 0.2515 2.9 pairs/s
ep 0 step 2600/18779 seen 20800 loss 0.2197 2.9 pairs/s
ep 0 step 2800/18779 seen 22400 loss 0.2417 2.9 pairs/s
ep 0 step 3000/18779 seen 24000 loss 0.1920 2.9 pairs/s
ep 0 step 3200/18779 seen 25600 loss 0.2248 2.9 pairs/s
ep 0 step 3400/18779 seen 27200 loss 0.2253 2.9 pairs/s
ep 0 step 3600/18779 seen 28800 loss 0.2063 2.9 pairs/s
ep 0 step 3800/18779 seen 30400 loss 0.2381 2.9 pairs/s
ep 0 step 4000/18779 seen 32000 loss 0.2241 2.9 pairs/s
ep 0 step 4200/18779 seen 33600 loss 0.2027 2.9 pairs/s
ep 0 step 4400/18779 seen 35200 loss 0.1961 2.9 pairs/s
ep 0 step 4600/18779 seen 36800 loss 0.2023 2.9 pairs/s
ep 0 step 4800/18779 seen 38400 loss 0.1934 2.9 pairs/s
ep 0 step 5000/18779 seen 40000 loss 0.1912 2.9 pairs/s
ep 0 step 5200/18779 seen 41600 loss 0.1836 2.9 pairs/s
ep 0 step 5400/18779 seen 43200 loss 0.1924 2.9 pairs/s
ep 0 step 5600/18779 seen 44800 loss 0.2025 2.9 pairs/s
ep 0 step 5800/18779 seen 46400 loss 0.1860 2.9 pairs/s
ep 0 step 6000/18779 seen 48000 loss 0.1800 2.9 pairs/s
ep 0 step 6200/18779 seen 49600 loss 0.2063 2.9 pairs/s
ep 1 step 6400/18779 seen 51199 loss 0.1682 2.9 pairs/s
ep 1 step 6600/18779 seen 52799 loss 0.1563 2.9 pairs/s
ep 1 step 6800/18779 seen 54399 loss 0.1453 2.9 pairs/s
ep 1 step 7000/18779 seen 55999 loss 0.1498 2.9 pairs/s
ep 1 step 7200/18779 seen 57599 loss 0.1722 2.9 pairs/s
ep 1 step 7400/18779 seen 59199 loss 0.1508 2.9 pairs/s
ep 1 step 7600/18779 seen 60799 loss 0.1290 2.9 pairs/s
ep 1 step 7800/18779 seen 62399 loss 0.1225 2.9 pairs/s
ep 1 step 8000/18779 seen 63999 loss 0.1730 2.9 pairs/s
ep 1 step 8200/18779 seen 65599 loss 0.1828 2.9 pairs/s
ep 1 step 8400/18779 seen 67199 loss 0.1416 2.9 pairs/s
ep 1 step 8600/18779 seen 68799 loss 0.1385 2.9 pairs/s
trained 8723 steps, 69783 pairs (1.39 epochs) in 400.0 min
scored 36219 band pairs in 3274s (11.1 pairs/s)
AUC on B2 band: 0.8982  (21760 pairs)
AUC on C band: 0.9018  (14459 pairs)
